Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Profit,3580.0,3529.0,3553.0,3788.0,4757.0,8431.0,2759.0,3926.0,INDUSTOWER.NS,8431.0,53.43
Sales,912.0,1057.0,1203.0,1330.0,1581.0,2087.0,2017.0,2055.0,LALPATHLAB.NS,2087.0,1.53
Profit,237.0,261.0,301.0,310.0,394.0,475.0,344.0,380.0,LALPATHLAB.NS,475.0,20.0
Sales,1923.0,2751.0,2450.0,2358.0,3626.0,4298.0,4178.0,4921.0,MOTILALOFS.NS,4921.0,0.0
Profit,506.0,829.0,378.0,285.0,1458.0,1616.0,1242.0,1797.0,MOTILALOFS.NS,1797.0,0.0
Sales,1435.0,1735.0,1647.0,1192.0,1419.0,1533.0,1512.0,1388.0,NAM-INDIA.NS,1735.0,20.0
Profit,581.0,656.0,700.0,560.0,877.0,989.0,928.0,1083.0,NAM-INDIA.NS,1083.0,0.0
Sales,460.0,684.0,964.0,1150.0,1396.0,1421.0,1617.0,1768.0,EQUITASBNK.NS,1768.0,0.0
Profit,161.0,49.0,324.0,377.0,511.0,378.0,769.0,894.0,EQUITASBNK.NS,894.0,0.0
Sales,355379.0,421492.0,528158.0,483763.0,363950.0,589336.0,841756.0,816892.0,IOC.NS,841756.0,2.95
Profit,27956.0,34450.0,25927.0,-7177.0,30751.0,34289.0,15038.0,33144.0,IOC.NS,34450.0,3.79
Sales,5918.0,6322.0,7334.0,7315.0,8048.0,9512.0,9764.0,9683.0,MARICO.NS,9764.0,0.83
Profit,1149.0,1117.0,1257.0,1374.0,1523.0,1601.0,1743.0,1811.0,MARICO.NS,1811.0,0.0
Sales,259.0,260.0,300.0,398.0,391.0,367.0,514.0,550.0,MCX.NS,550.0,0.0
Profit,178.0,147.0,154.0,265.0,267.0,184.0,191.0,164.0,MCX.NS,267.0,38.58
Sales,82042.0,88083.0,100287.0,109464.0,111531.0,132669.0,176207.0,176105.0,NTPC.NS,176207.0,0.06
Profit,13426.0,16154.0,11255.0,21250.0,17390.0,22007.0,23917.0,25071.0,NTPC.NS,25071.0,0.0
Sales,2031.0,2978.0,4100.0,5321.0,4209.0,4225.0,3994.0,3986.0,PEL.NS,5321.0,25.09
Profit,1310.0,1964.0,2316.0,1982.0,3456.0,2405.0,5991.0,-1628.0,PEL.NS,5991.0,127.17
Sales,502.0,1480.0,2058.0,2549.0,3124.0,5133.0,7792.0,8333.0,ADANIGREEN.NS,8333.0,0.0
Profit,-184.0,-210.0,-585.0,-50.0,193.0,553.0,1426.0,1506.0,ADANIGREEN.NS,1506.0,0.0
Sales,2876.0,3944.0,7305.0,11416.0,9926.0,11258.0,13293.0,13825.0,ADANITRANS.NS,13825.0,0.0
Profit,532.0,1472.0,840.0,1107.0,1620.0,1700.0,1712.0,1853.0,ADANITRANS.NS,1853.0,0.0
Sales,4399.0,5847.0,6806.0,6669.0,6666.0,5576.0,6338.0,6168.0,BAJAJHIND.NS,6806.0,9.37
Profit,-98.0,-505.0,-134.0,-52.0,-294.0,-272.0,-138.0,-168.0,BAJAJHIND.NS,-52.0,-223.08
Sales,10435.0,11690.0,12085.0,9842.0,9716.0,11782.0,14929.0,15543.0,BOSCHLTD.NS,15543.0,0.0
Profit,2391.0,2041.0,2339.0,985.0,565.0,1500.0,1882.0,1977.0,BOSCHLTD.NS,2391.0,17.31
Sales,48552.0,54496.0,76190.0,72518.0,57372.0,92770.0,145668.0,140616.0,GAIL.NS,145668.0,3.47
Profit,5183.0,6928.0,9831.0,10429.0,7725.0,15464.0,7256.0,5309.0,GAIL.NS,15464.0,65.67
Sales,199.0,230.0,254.0,257.0,317.0,426.0,401.0,407.0,IEX.NS,426.0,4.46
Profit,174.0,200.0,232.0,228.0,282.0,400.0,389.0,396.0,IEX.NS,400.0,1.0
Sales,10891.0,10851.0,12167.0,13798.0,23439.0,22129.0,24717.0,26443.0,INDIANB.NS,26443.0,0.0
Profit,1060.0,1445.0,359.0,1377.0,3115.0,3253.0,5963.0,7049.0,INDIANB.NS,7049.0,0.0
Sales,68085.0,79809.0,86068.0,75660.0,70372.0,88330.0,117571.0,123398.0,MARUTI.NS,123398.0,0.0
Profit,10127.0,11167.0,10624.0,7103.0,5321.0,4697.0,10323.0,12207.0,MARUTI.NS,12207.0,0.0
Sales,25697.0,29954.0,35059.0,37744.0,39640.0,41616.0,45581.0,45724.0,POWERGRID.NS,45724.0,0.0
Profit,9457.0,13471.0,9147.0,14590.0,15501.0,19610.0,17702.0,17589.0,POWERGRID.NS,19610.0,10.31
Sales,233.0,292.0,516.0,600.0,690.0,1073.0,975.0,1000.0,ROSSARI.NS,1073.0,6.8
Profit,19.0,39.0,63.0,88.0,106.0,107.0,96.0,104.0,ROSSARI.NS,107.0,2.8
Sales,528.0,712.0,1009.0,1301.0,1043.0,1027.0,1648.0,1910.0,SBICARD.NS,1910.0,0.0
Profit,572.0,919.0,1335.0,1730.0,1324.0,2172.0,3031.0,2986.0,SBICARD.NS,3031.0,1.48
Sales,2012.0,2888.0,3775.0,4987.0,5050.0,10602.0,12096.0,12499.0,STARHEALTH.NS,12499.0,0.0
Profit,118.0,171.0,182.0,413.0,-1446.0,-1397.0,826.0,923.0,STARHEALTH.NS,923.0,0.0
Sales,16312.0,17378.0,21837.0,35756.0,38694.0,46240.0,53576.0,51718.0,UPL.NS,53576.0,3.47
Profit,1922.0,2305.0,1773.0,2764.0,4181.0,4966.0,5150.0,4024.0,UPL.NS,5150.0,21.86
Sales,2228.0,2657.0,3588.0,4592.0,4576.0,4298.0,5748.0,6624.0,CHOLAFIN.NS,6624.0,0.0
Profit,1107.0,1401.0,1832.0,1588.0,2048.0,2908.0,3615.0,3796.0,CHOLAFIN.NS,3796.0,0.0
Sales,12.3,20.05,20.66,17.66,177.54,19.22,,17.33,EQUITAS.NS,177.54,90.24
