Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
HEROMOTOCO.NS,2021-02-15,,51.02,9827.0,132.23,28603.0,,47.98,126.35999999999999,9473.0,24.66,3115.7,4.65,,,3.74,6.34,
HEROMOTOCO.NS,2021-05-16,2812.35,44.1,8690.0,146.06,30959.0,19.25,51.02,132.23,9827.0,,,10.46,,,-11.57,-13.56,
HEROMOTOCO.NS,2021-08-15,2772.2,12.82,5503.0,155.92,33493.0,17.78,44.1,146.06,8690.0,19.25,2812.35,6.75,-8.15,-1.4000000000000004,-36.67,-70.93,-1.4000000000000004
HEROMOTOCO.NS,2021-11-15,2683.05,37.32,8539.0,145.26000000000002,32559.0,18.47,12.82,155.92,5503.0,17.78,2772.2,-6.84,3.62,-3.2199999999999998,55.17,191.11,-3.2199999999999998
HINDUNILVR.NS,2020-08-15,2173.9,8.08,10731.0,30.980000000000004,40150.0,70.17,,,,,,,,,,,
HINDUNILVR.NS,2020-11-15,2187.7,8.4,11683.0,31.0,41728.0,70.57,8.08,30.980000000000004,10731.0,70.17,2173.9,0.06,0.57,0.6299999999999999,8.87,3.96,0.6299999999999999
HINDUNILVR.NS,2021-02-15,2241.55,8.24,12181.0,31.72,43806.0,70.67,8.4,31.0,11683.0,70.57,2187.7,2.32,0.14,2.46,4.26,-1.9,2.46
HINDUNILVR.NS,2021-05-16,2376.85,9.3,12433.0,34.019999999999996,47028.0,69.87,8.24,31.72,12181.0,70.67,2241.55,7.25,-1.21,6.04,2.07,12.86,6.04
HINDUNILVR.NS,2021-08-15,2404.5,8.92,12194.0,34.86,48491.0,68.98,9.3,34.019999999999996,12433.0,69.87,2376.85,2.47,-1.31,1.1600000000000001,-1.92,-4.09,1.1600000000000001
HINDUNILVR.NS,2021-11-15,2404.95,9.28,13046.0,35.74,49854.0,67.29,8.92,34.86,12194.0,68.98,2404.5,2.52,-2.51,0.010000000000000231,6.99,4.04,0.010000000000000231
ICICIBANK.NS,2020-08-15,361.4,4.81,11347.0,15.709999999999999,45004.0,23.0,,,,,,,,,,,
ICICIBANK.NS,2020-11-15,486.9,7.08,10945.0,21.04,44614.0,23.14,4.81,15.709999999999999,11347.0,23.0,361.4,33.93,0.82,34.75,-3.54,47.19,34.75
ICICIBANK.NS,2021-02-15,647.6,7.96,10412.0,21.779999999999998,43729.0,29.73,7.08,21.04,10945.0,23.14,486.9,3.52,29.48,33.0,-4.87,12.43,33.0
ICICIBANK.NS,2021-05-16,597.3,7.07,9955.0,26.919999999999998,42659.0,22.19,7.96,21.779999999999998,10412.0,29.73,647.6,23.6,-31.34,-7.739999999999998,-4.39,-11.18,-7.739999999999998
ICICIBANK.NS,2021-08-15,704.8,6.88,10068.0,28.990000000000002,41380.0,24.31,7.07,26.919999999999998,9955.0,22.19,597.3,7.69,10.29,17.98,1.14,-2.69,17.98
ICICIBANK.NS,2021-11-15,776.6,8.78,10093.0,30.69,40528.0,25.3,6.88,28.990000000000002,10068.0,24.31,704.8,5.86,4.31,10.17,0.25,27.62,10.17
IBREALEST.NS,2020-08-15,66.25,-2.08,47.86,3.21,2482.07,20.64,,,,,,,,,,,
IBREALEST.NS,2020-11-15,63.25,-1.67,20.15,-5.08,1416.57,-12.45,-2.08,3.21,47.86,20.64,66.25,-258.26,253.73,-4.530000000000001,-57.9,-19.71,-4.530000000000001
IBREALEST.NS,2021-02-15,81.9,1.77,721.68,-4.390000000000001,905.9899999999999,-18.66,-1.67,-5.08,20.15,-12.45,63.25,-13.58,43.1,29.520000000000003,3481.54,-205.99,29.520000000000003
IBREALEST.NS,2021-05-16,81.35,2.08,731.74,0.10000000000000009,1521.43,813.5,1.77,-4.390000000000001,721.68,-18.66,81.9,-102.28,101.61,-0.6700000000000017,1.39,17.51,-0.6700000000000017
IBREALEST.NS,2021-08-15,149.8,0.1,519.71,2.2800000000000002,1993.2800000000002,65.7,2.08,0.10000000000000009,731.74,813.5,81.35,2180.0,-2095.86,84.13999999999987,-28.98,-95.19,84.13999999999987
IBREALEST.NS,2021-11-15,189.6,0.12,349.32,4.07,2322.45,46.58,0.1,2.2800000000000002,519.71,65.7,149.8,78.51,-51.95,26.560000000000002,-32.79,20.0,26.560000000000002
IEX.NS,2020-08-15,61.8,0.47,68.0,1.98,264.0,31.21,,,,,,,,,,,
IEX.NS,2020-11-15,68.92,0.49,71.0,1.93,268.0,35.71,0.47,1.98,68.0,31.21,61.8,-2.53,14.05,11.520000000000001,4.41,4.26,11.520000000000001
IEX.NS,2021-02-15,99.43,0.65,85.0,2.12,293.0,46.9,0.49,1.93,71.0,35.71,68.92,9.84,34.42,44.260000000000005,19.72,32.65,44.260000000000005
IEX.NS,2021-05-16,124.45,0.68,94.0,2.29,318.0,54.34,0.65,2.12,85.0,46.9,99.43,8.02,17.14,25.16,10.59,4.62,25.16
IEX.NS,2021-08-15,136.48,0.7,91.0,2.5199999999999996,341.0,54.16,0.68,2.29,94.0,54.34,124.45,10.04,-0.36,9.68,-3.19,2.94,9.68
IEX.NS,2021-11-15,264.37,0.86,110.0,2.89,380.0,91.48,0.7,2.5199999999999996,91.0,54.16,136.48,14.68,79.03,93.71000000000001,20.88,22.86,93.71000000000001
IRCTC.NS,2020-08-15,273.72,-0.31,131.0,5.199999999999999,1936.0,52.64,,,,,,,,,,,
IRCTC.NS,2020-11-15,279.73,0.41,89.0,4.359999999999999,1512.0,64.16,-0.31,5.199999999999999,131.0,52.64,273.72,-16.15,18.35,2.200000000000003,-32.06,-232.26,2.200000000000003
IRCTC.NS,2021-02-15,346.38,0.98,224.0,2.7699999999999996,1020.0,125.05,0.41,4.359999999999999,89.0,64.16,279.73,-36.47,60.3,23.83,151.69,139.02,23.83
IRCTC.NS,2021-05-16,349.53,1.3,339.0,2.3800000000000003,783.0,146.86,0.98,2.7699999999999996,224.0,125.05,346.38,-14.08,14.99,0.9100000000000001,51.34,32.65,0.9100000000000001
IRCTC.NS,2021-08-15,532.14,1.03,243.0,3.72,895.0,143.05,1.3,2.3800000000000003,339.0,146.86,349.53,56.3,-4.05,52.25,-28.32,-20.77,52.25
IRCTC.NS,2021-11-15,864.85,1.98,405.0,5.289999999999999,1211.0,163.49,1.03,3.72,243.0,143.05,532.14,42.2,20.32,62.52,66.67,92.23,62.52
INDUSINDBK.NS,2020-08-15,507.2,7.36,3853.0,51.019999999999996,16459.0,9.94,,,,,,,,,,,
INDUSINDBK.NS,2020-11-15,770.45,8.77,3899.0,39.57,16117.0,19.47,7.36,51.019999999999996,3853.0,9.94,507.2,-22.44,74.35,51.91,1.19,19.16,51.91
INDUSINDBK.NS,2021-02-15,1027.4,10.97,3835.0,31.650000000000002,15742.0,32.46,8.77,39.57,3899.0,19.47,770.45,-20.02,53.36,33.34,-1.64,25.09,33.34
INDUSINDBK.NS,2021-05-16,890.85,11.98,3885.0,39.080000000000005,15472.0,22.8,10.97,31.650000000000002,3835.0,32.46,1027.4,23.48,-36.74,-13.260000000000002,1.3,9.21,-13.260000000000002
INDUSINDBK.NS,2021-08-15,1024.15,13.13,4011.0,44.849999999999994,15630.0,22.84,11.98,39.080000000000005,3885.0,22.8,890.85,14.76,0.2,14.959999999999999,3.24,9.6,14.959999999999999
INDUSINDBK.NS,2021-11-15,1037.05,14.81,3992.0,50.89,15723.0,20.38,13.13,44.849999999999994,4011.0,22.84,1024.15,13.47,-12.22,1.25,-0.47,12.8,1.25
NAUKRI.NS,2020-08-15,3246.15,7.64,285.0,3.5299999999999994,1278.0,919.59,,,,,,,,,,,
NAUKRI.NS,2020-11-15,3884.4,25.51,261.0,37.98,1209.0,102.27,7.64,3.5299999999999994,285.0,919.59,3246.15,975.92,-956.27,19.649999999999977,-8.42,233.9,19.649999999999977
NAUKRI.NS,2021-02-15,5373.8,52.82,278.0,95.69,1152.0,56.16,25.51,37.98,261.0,102.27,3884.4,151.95,-113.59,38.359999999999985,6.51,107.06,38.359999999999985
