Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
ONGC.NS,2014-05-16,252.37,20.65,12.22,18.87,11.84,223.37,9.43,3.51,12.94
ONGC.NS,2015-05-16,212.6,14.29,14.88,20.65,12.22,252.37,-30.8,15.06,-15.74
ONGC.NS,2016-05-16,135.83,10.03,13.54,14.29,14.88,212.6,-29.81,-6.32,-36.129999999999995
ONGC.NS,2017-05-16,186.75,19.03,9.81,10.03,13.54,135.83,89.73,-52.26,37.470000000000006
ONGC.NS,2018-05-16,189.0,17.23,10.97,19.03,9.81,186.75,-9.46,10.7,1.2399999999999984
ONGC.NS,2019-05-16,162.75,24.28,6.7,17.23,10.97,189.0,40.92,-54.85,-13.93
ONGC.NS,2020-05-16,76.15,8.59,8.86,24.28,6.7,162.75,-64.62,11.4,-53.220000000000006
ONGC.NS,2021-05-16,112.95,12.92,8.74,8.59,8.86,76.15,50.41,-2.04,48.37
ONGC.NS,2021-11-15,154.65,28.59,5.41,12.92,8.74,112.95,121.28,-84.29,36.989999999999995
SHREECEM.NS,2013-08-15,4070.3,288.18,14.12,,,,,,
SHREECEM.NS,2014-08-15,7318.0,225.97,32.38,288.18,14.12,4070.3,-21.59,101.37,79.78
SHREECEM.NS,2015-08-15,10926.05,122.37,89.29,225.97,32.38,7318.0,-45.85,95.16,49.309999999999995
SHREECEM.NS,2016-05-16,13670.55,328.13,41.66,122.37,89.29,10926.05,168.15,-143.04,25.110000000000014
SHREECEM.NS,2017-05-16,20234.0,384.38,52.64,328.13,41.66,13670.55,17.14,30.87,48.010000000000005
SHREECEM.NS,2018-05-16,16444.5,397.32,41.39,384.38,52.64,20234.0,3.37,-22.09,-18.72
SHREECEM.NS,2019-05-16,19013.6,288.86,65.82,397.32,41.39,16444.5,-27.3,42.91,15.609999999999996
SHREECEM.NS,2020-05-16,19180.5,425.67,45.06,288.86,65.82,19013.6,47.36,-46.48,0.8800000000000026
SHREECEM.NS,2021-05-16,26713.6,633.54,42.17,425.67,45.06,19180.5,48.83,-9.55,39.28
SHREECEM.NS,2021-11-15,29388.9,726.71,40.44,633.54,42.17,26713.6,14.71,-4.71,10.0
HDFC.NS,2012-05-16,645.3,36.98,17.45,,,,,,
HDFC.NS,2013-05-16,910.05,42.94,21.19,36.98,17.45,645.3,16.12,24.89,41.010000000000005
HDFC.NS,2014-05-16,818.2,50.93,16.07,42.94,21.19,910.05,18.61,-28.65,-10.04
HDFC.NS,2015-05-16,818.2,55.65,14.7,50.93,16.07,818.2,9.27,-9.32,-0.05000000000000071
HDFC.NS,2016-05-16,1166.0,64.5,18.08,55.65,14.7,818.2,15.9,26.65,42.55
HDFC.NS,2017-05-16,1559.5,69.56,22.42,64.5,18.08,1166.0,7.84,25.89,33.730000000000004
HDFC.NS,2018-05-16,1929.55,71.48,26.99,69.56,22.42,1559.5,2.76,20.95,23.71
HDFC.NS,2019-05-16,1944.95,94.29,20.63,71.48,26.99,1929.55,31.91,-31.08,0.8300000000000018
HDFC.NS,2020-05-16,1633.8,123.75,13.2,94.29,20.63,1944.95,31.24,-47.27,-16.030000000000005
HDFC.NS,2021-05-16,2422.0,103.88,23.32,123.75,13.2,1633.8,-16.06,64.34,48.28
HDFC.NS,2021-11-15,2992.65,115.42,25.93,103.88,23.32,2422.0,11.11,12.44,23.549999999999997
ICICIBANK.NS,2012-05-16,148.52,12.06,12.32,,,,,,
ICICIBANK.NS,2013-05-16,216.59,15.14,14.31,12.06,12.32,148.52,25.54,20.29,45.83
ICICIBANK.NS,2014-05-16,253.65,17.38,14.59,15.14,14.31,216.59,14.8,2.25,17.05
ICICIBANK.NS,2015-05-16,283.95,19.2,14.79,17.38,14.59,253.65,10.47,1.51,11.98
ICICIBANK.NS,2016-05-16,205.91,15.92,12.93,19.2,14.79,283.95,-17.08,-10.43,-27.509999999999998
ICICIBANK.NS,2017-05-16,274.36,15.9,17.26,15.92,12.93,205.91,-0.13,33.44,33.309999999999995
ICICIBANK.NS,2018-05-16,308.25,12.0,25.69,15.9,17.26,274.36,-24.53,36.87,12.339999999999996
ICICIBANK.NS,2019-05-16,377.05,6.6,57.13,12.0,25.69,308.25,-45.0,67.32,22.319999999999993
ICICIBANK.NS,2020-05-16,322.7,14.78,21.83,6.6,57.13,377.05,123.94,-138.37,-14.430000000000007
ICICIBANK.NS,2021-05-16,597.3,26.58,22.47,14.78,21.83,322.7,79.84,5.27,85.11
ICICIBANK.NS,2021-11-15,776.6,30.69,25.3,26.58,22.47,597.3,15.46,14.54,30.0
HDFCBANK.NS,2012-05-16,249.55,11.18,22.32,,,,,,
HDFCBANK.NS,2013-05-16,357.42,14.44,24.75,11.18,22.32,249.55,29.16,14.06,43.22
HDFCBANK.NS,2014-05-16,394.17,18.22,21.63,14.44,24.75,357.42,26.18,-15.9,10.28
HDFCBANK.NS,2015-05-16,495.05,21.32,23.22,18.22,21.63,394.17,17.01,8.6,25.61
