Date, Market Mood Index, Nifty Index
19/09/2016,37.6145705952497,8808.4
16/09/2016,31.8271451909684,8779.85
15/09/2016,36.3282031086758,8742.55
14/09/2016,39.2853786870486,8726.6
12/09/2016,46.5934262801605,8715.6
09/09/2016,63.3417864058729,8866.7
08/09/2016,72.152680091206,8952.5
07/09/2016,71.1688135681242,8917.95
06/09/2016,69.4674410773439,8943
02/09/2016,62.34480129703,8809.65
01/09/2016,62.324240537068,8774.65
31/08/2016,67.5483753638877,8786.2
30/08/2016,58.0121142576143,8744.35
29/08/2016,51.3127854447457,8607.45
26/08/2016,47.7129206146184,8572.55
25/08/2016,45.7077472521103,8592.2
24/08/2016,48.6475134490147,8650.3
23/08/2016,52.3924393556466,8632.6
22/08/2016,65.4537149912718,8629.15
19/08/2016,72.1407217672709,8666.9
18/08/2016,66.7740588150467,8673.25
17/08/2016,64.639852248789,8624.05
16/08/2016,69.551607459219,8642.55
12/08/2016,66.8910796914951,8672.15
11/08/2016,57.9348023789956,8592.15
10/08/2016,64.2057282886028,8575.3
09/08/2016,74.9112664079772,8678.25
08/08/2016,79.5038081798001,8711.35
05/08/2016,70.6358673265258,8683.15
04/08/2016,54.3525892919978,8551.1
03/08/2016,57.2036811955672,8544.85
02/08/2016,68.1431091439071,8622.9
01/08/2016,69.5685406340619,8636.55
29/07/2016,70.1139344783747,8638.5
28/07/2016,76.1035771604646,8666.3
27/07/2016,74.8797412267569,8615.8
26/07/2016,75.0484451067975,8590.65
25/07/2016,80.3808682713318,8635.65
22/07/2016,79.9637202241907,8541.2
21/07/2016,74.9428606810901,8510.1
20/07/2016,74.7189071769242,8565.85
19/07/2016,71.2688574875363,8528.55
18/07/2016,67.8641419022736,8508.7
15/07/2016,74.8199688241494,8541.4
14/07/2016,73.5228986707731,8565
13/07/2016,77.4228344867508,8519.5
12/07/2016,79.6114678286268,8521.05
11/07/2016,67.7441062607235,8467.9
08/07/2016,65.4982471939059,8323.2
07/07/2016,70.1106524007884,8337.9
05/07/2016,71.856816881761,8335.95
04/07/2016,69.362344389392,8370.7
01/07/2016,68.2402864151246,8328.35
30/06/2016,65.6361878110357,8287.75
29/06/2016,55.3370173428822,8204
28/06/2016,49.7293445966114,8127.85
27/06/2016,44.6695870430746,8094.7
24/06/2016,45.7401221953504,8088.6
23/06/2016,46.9332333994917,8270.45
22/06/2016,47.2356384715164,8203.7
21/06/2016,56.194112418494,8219.9
20/06/2016,59.0802779682382,8238.5
17/06/2016,51.7638699287329,8170.2
16/06/2016,48.4919712457045,8140.75
15/06/2016,52.9041933684827,8206.6
14/06/2016,55.1325430408935,8108.85
13/06/2016,61.5745109111971,8110.6
10/06/2016,70.2651952373803,8170.05
09/06/2016,77.2091165491165,8203.6
08/06/2016,83.2640756632557,8273.05
07/06/2016,83.0783830146858,8266.45
06/06/2016,78.074839425369,8201.05
03/06/2016,79.9964564106832,8220.8
02/06/2016,80.8213914319068,8218.95
01/06/2016,75.7177397665994,8179.95
31/05/2016,76.0273522490635,8160.1
30/05/2016,78.1980794033466,8178.5
27/05/2016,76.8840350510286,8156.65
26/05/2016,67.3119905663004,8069.65
25/05/2016,49.722949152071,7934.9
24/05/2016,40.6538080600929,7748.85
23/05/2016,42.8330190547886,7731.05
20/05/2016,41.1235765124781,7749.7
19/05/2016,48.4314046946004,7783.4
18/05/2016,59.7911076269321,7870.15
17/05/2016,54.9147377270685,7890.75
16/05/2016,47.933995242559,7860.75
13/05/2016,54.5356957030867,7814.9
12/05/2016,54.755870571406,7900.4
11/05/2016,51.008297173807,7848.85
10/05/2016,56.3480025522377,7887.8
09/05/2016,57.6716279270823,7866.05
06/05/2016,56.9720599531721,7733.45
05/05/2016,53.930481367887,7735.5
04/05/2016,51.5178721125213,7706.55
03/05/2016,59.584602524519,7747
02/05/2016,68.394370078477,7805.9
29/04/2016,69.1451133855995,7849.8
28/04/2016,72.2560977486544,7847.25
27/04/2016,80.1138746232926,7979.9
26/04/2016,76.3390805828969,7962.65
25/04/2016,71.3099324694753,7855.05
22/04/2016,72.9008666565844,7899.3
21/04/2016,73.676163247394,7912.05
20/04/2016,74.3070685410257,7914.75
18/04/2016,73.9755418399433,7914.7
13/04/2016,71.5088370571235,7850.45
12/04/2016,72.5404535540175,7708.95
11/04/2016,73.77333924155,7671.4
08/04/2016,67.203280133171,7555.2
07/04/2016,69.2954875303217,7546.45
06/04/2016,72.5199784157556,7614.35
05/04/2016,73.0792101414323,7603.2
04/04/2016,80.3285282201532,7758.8
01/04/2016,84.1133479525381,7713.05
31/03/2016,84.1133479525381,7738.4
30/03/2016,78.3428266819109,7735.2
29/03/2016,70.3037686952582,7597
28/03/2016,76.7095348358525,7615.1
23/03/2016,82.7120533974547,7716.5
22/03/2016,81.4003015759684,7714.9
21/03/2016,81.5054285027591,7704.25
18/03/2016,78.6411916828798,7604.35
17/03/2016,80.5726041811396,7512.55
16/03/2016,85,7498.75
15/03/2016,82.0285287111222,7460.6
14/03/2016,78.0349282389093,7538.75
11/03/2016,75.7136219293078,7510.2
10/03/2016,74.5437177374028,7486.15
09/03/2016,71.1813643912432,7531.8
08/03/2016,68.7292937564737,7485.3
